,number,name,code
251,VMS263A,History of Netherlandish Art in a European Context,[]
252,ARTHIST278,European Art 1760-1850,[]
253,ARTHIST279,European Art 1850-1900,[]
254,ARTHIST280,European Art 1900-1945,[]
255,ARTHIST282S,"Painting Russia Red: Early Soviet Culture, 1917-1934",[]
256,ARTHIST283,African American Art,[]
257,ARTHIST285,Modern Architecture,[]
258,ARTHIST285D,Modern Architecture,[]
259,ARTHIST286D,Contemporary Architecture,[]
260,ARTHIST287,Russian Art and Politics: 1800-Present,[]
261,ARTHIST287FS,Russian Art and Politics,[]
262,ARTHIST288,Dada and Surrealism,[]
263,ARTHIST289S,Soviet Art after Stalin: 1956-1991,[]
264,ARTHIST290,Special Topics in Art History,[]
265,ARTHIST290-1,Topics in Medieval Art and Architecture,[]
266,ARTHIST290A-1,Topics in Italian Art and Architecture,[]
267,ARTHIST291,Independent Study,[]
268,ARTHIST292,Independent Study,[]
269,ARTHIST293,Research Independent Study,[]
270,ARTHIST294,Research Independent Study,[]
271,ARTHIST295,Chinese Art 1900 to Present,[]
272,ARTHIST296A,"Berlin: Architecture, Art and the City, 1871-Present",[]
273,ARTHIST297A,"Art and Architecture of Berlin, Fifteenth to the Twentieth Century",[]
274,ARTHIST298,History of Impressionism,[]
275,VMS296A,Internship in New York,[]
276,ARTSVIS 290S,"Animation, Comics & Theater",[]
277,VMS201,Book Art: Form and Function,[]
278,ARTSVIS202,Figure Drawing,[]
279,ARTSVIS203,Introduction to Architectural Design,[]
280,ARTSVIS205,Intermediate Drawing,[]
281,ARTSVIS206,Digital Imaging,[]
282,ARTSVIS208LS,Virtual Form and Space,[]
283,ARTSVIS209,3D Modeling and Animation,[]
284,ARTSVIS210,Sculpture,[]
285,ARTSVIS211,"Site, Situation, and Object: Sculpture and Architecture",[]
286,ARTSVIS212S,A Digital Approach to Documentary Photography: Capturing Transience,[]
287,VMS209,Representing Women in the Classical World,[]
288,ARTSVIS216,Documentary Photography and the Southern Culture Landscape,[]
289,ARTSVIS218S,Photo Workshop,[]
290,ARTSVIS219S,Photography,[]
291,ARTSVIS220,Intermediate Painting,[]
292,VMS216S,Alternative Photographic Processes,[]
293,ARTSVIS222S,The Photographic Portfolio,[]
294,ARTSVIS223,Graphic Design in Multimedia: Theory and Practice,[]
295,ARTSVIS224,Printmaking: Silkscreen,[]
296,ARTSVIS226,Printmaking: Relief and Monotype,[]
297,ARTSVIS227,Printmaking: Intaglio,[]
298,ARTSVIS229S,Experimental Filmmaking,[]
299,ARTSVIS230S,Collaborative Art: Practice and Theory of Working Within a Community,[]
300,ARTSVIS232S,Small Town USA: Local Collaborations,[]
301,ARTSVIS233S,Costume Design,[]
302,ARTSVIS234S,Scene Design,[]
303,ARTSVIS235S,Lighting Design,[]
304,VMS272S,Motion Graphics in Film and Video,[]
305,ARTSVIS237,Book Art: Typography as Image,[]
306,ARTSVIS238,Digital Printmaking: Exploring Photo Silkscreen and Photoshop,[]
307,VMS239S,Gaming the System: Pervasive Gaming as Art,[]
308,ARTSVIS240S,Color Photography: Fieldwork and Digital Color,[]
309,ARTSVIS241S,The Photographic Essay: Narratives Through Pictures,[]
310,ARTSVIS242L,Interactive Graphics: Critical Code,[]
311,ARTSVIS244,Photography,[]
312,ARTSVIS246,Drawing,[]
313,ARTSVIS248S,Cinematography,[]
314,VMS252S,Photography in Context,[]
315,ARTSVIS258S,Electronic Music and Video Workshop,[]
316,VMS270,Personal Geographics: Mapping Self-Identity,[]
317,VMS275LS,Reconstructing Ancient Worlds,[]
318,VMS281S,Graphic Design in Motion,[]
319,ARTSVIS290,Topics in Visual Arts,[]
320,ARTSVIS290S,Special Topics in Visual Arts,[]
321,ARTSVIS291,Individual Project in the Visual Arts,[]
322,VMS201,Book Art: Form and Function,[]
323,VMS202D,Introduction to Visual Culture,[]
324,VMS203,"Visualizing Cultural Dissent in Modernism, 1880-1945",[]
325,VMS204S,Medicine and the Vision of Documentary Photography,[]
326,ARTSVIS206,Digital Imaging,[]
327,VMS207S,Children's Self Expression: Literacy Through Photography,[]
328,VMS209,Representing Women in the Classical World,[]
329,VMS211S,Children and the Experience of Illness,[]
330,ARTSVIS212S,A Digital Approach to Documentary Photography: Capturing Transience,[]
331,VMS214S,The Silent Film: An Introduction,[]
332,ARTSVIS216,Documentary Photography and the Southern Culture Landscape,[]
333,VMS216S,Alternative Photographic Processes,[]
334,VMS217S,Visual Research and the American Dream,[]
335,VMS218S,Sociology through Photography,[]
336,ARTSVIS230S,Collaborative Art: Practice and Theory of Working Within a Community,[]
337,VMS220S,Planning the Documentary Film: From Concept to Treatment,[]
338,ARTSVIS224,Printmaking: Silkscreen,[]
339,VMS221SA,The Economics of Art (The Chicago Scene),[]
340,VMS223,Melodrama East and West,[]
341,ARTSVIS232S,Small Town USA: Local Collaborations,[]
342,ARTSVIS240S,Color Photography: Fieldwork and Digital Color,[]
343,VMS228,Film and the African Diaspora,[]
344,VMS229,Culture and Politics in Africa,[]
345,VMS230,Black Popular Culture,[]
346,VMS231,Indian Cinema,[]
347,VMS232,Japanese Cinema,[]
348,VMS233,Religion in American Life,[]
349,VMS234,World of Korean Cinema,[]
350,VMS235,Modern Chinese Cinema,[]
351,VMS236,Contemporary Japanese Visual Culture,[]
352,VMS237,Global Chinese Cities through Literature and Film,[]
353,VMS238S,Discourse of Disease and Infection,[]
354,VMS239S,Gaming the System: Pervasive Gaming as Art,[]
355,VMS240,Drama of Greece and Rome,[]
356,VMS241,Computer Graphics,[]
357,VMS242,History of Art Markets,[]
358,ARTSVIS237,Book Art: Typography as Image,[]
359,VMS245,"Espionage, Cryptology & Psychological Operations",[]
360,VMS247,Global Culture,[]
361,VMS248S,Political Economies of the Global Image,[]
362,VMS251,Representing Haiti,[]
363,VMS252S,Photography in Context,[]
364,VMS253S,The Surface of the Earth,[]
365,VMS255K,"American Dreams, American Movies",[]
366,VMS259A,The Arts in New York: A Thematic Approach,[]
367,ARTSVIS248S,Cinematography,[]
368,VMS261S,Moving Image Practice,[]
369,VMS262A,History of Netherlandish Art in a European Context,[]
370,VMS263A,History of Netherlandish Art in a European Context,[]
371,VMS264,Contemporary Documentary Film: Filmmakers and the Full Frame Documentary Film Festival,[]
372,VMS265,History of Documentary Film,[]
373,VMS266,Media History: Old and New,[]
374,VMS267,Film Genres,[]
375,VMS268,American Film Comedy,[]
376,VMS269,Documentary Photography and Film of the Nuclear Age,[]
377,VMS270,Personal Geographics: Mapping Self-Identity,[]
378,VMS272S,Motion Graphics in Film and Video,[]
379,VMS274S,Editing the TV Documentary: From Creativity to Collaboration to Negotiation,[]
380,VMS275LS,Reconstructing Ancient Worlds,[]
381,VMS276S,German Film,[]
382,VMS279S,Freud's Vienna: Experiments in Modernity Around 1900,[]
383,VMS280,German Film,[]
384,VMS280D,German Film,[]
385,VMS281S,Graphic Design in Motion,[]
386,VMS282S,Film Noir,[]
387,VMS283,Existentialist Cinema,[]
388,VMS284,Weimar and Nazi Germany,[]
389,VMS286S,Gender and Digital Culture,[]
390,VMS287S,Constructing Immersive Virtual Worlds,[]
391,VMS288,Fundamentals of Web-Based Multimedia Communications,[]
392,VMS288A,Fundamentals of Web-Based Multimedia Communications,[]
393,VMS288L,Fundamentals of Web-Based Multimedia Communications,[]
394,VMS289,Introduction to Film Studies,[]
395,VMS290,Special Topics in Visual Studies,[]
396,VMS290S,Special Topics in Visual Studies,[]
397,ARTHIST260,French Art and Visual Culture in the Early Modern Period,[]
398,VMS295S,Sexualities in Film and Video (DS4),[]
399,VMS296A,Internship in New York,[]
400,VMS296A-1,Internship in New York,[]
401,VMS298,Film Theory,[]
402,VMS299,Aesthetics: The Philosophy of Art,[]
403,ARTSVIS209,3D Modeling and Animation,[]
404,ARTSVIS208LS,Virtual Form and Space,[]
405,ARTSVIS223,Graphic Design in Multimedia: Theory and Practice,[]
406,ARTSVIS242L,Interactive Graphics: Critical Code,[]
407,ARTHIST301,English Art 1740-1850: Hogarth to the Pre-Raphaelites,[]
408,ARTHIST302,French Art 1780-1850,[]
409,VMS303,"History of Photography, 1839 to the Present",[]
410,ARTHIST304,Cubism and Culture,[]
411,ARTSVIS305L,Virtual Museums: Theories and Methods of 21st Century Museums,[]
412,ARTHIST310,Museum Internship,[]
413,ARTHIST311,"Museum Internship, Part 2",[]
414,VMS301A,The Business of Art and Media,[]
415,VMS334,Roman Spectacle,[]
416,VMS336,Pilgrimage and Tourism,[]
417,ARTHIST337,Netherlandish Art and Visual Culture in the Seventeenth and Eighteenth Centuries,[]
418,ARTHIST340S,Classical Sculpture,[]
419,VMS343,Representing the Artist in Film and Popular Culture,[]
420,ARTHIST378,Chinese Buddhist Art,[]
421,ARTHIST379,"Art, Architecture, and Masquerade in Africa",[]
422,ARTHIST381D,Global Art Since 1945,[]
423,ARTHIST383,The Black Atlantic,[]
424,ARTHIST384,Art of the United States,[]
425,ARTHIST390,Special Topics in Art History,[]
426,ARTHIST390-1,Topics in Renaissance Art,[]
427,ARTHIST390A,Duke-Administered Study Abroad: Advanced Special Topics in Art History,[]
428,ARTHIST390S,Special Topics in Art History,[]
429,ARTHIST390SL,Special Topics in Art History and Digital Visualization,[]
430,ARTSVIS 249S,The Photobook: History & Practice,[]
431,VMS395LS,Virtual Form and Space,[]
432,VMS350S,The Photobook: History and Practice,[]
433,ARTSVIS305L,Virtual Museums: Theories and Methods of 21st Century Museums,[]
434,ARTSVIS325S,Visiting Filmmaker Master Courses: Special Topics,[]
435,ARTSVIS326S,Film Animation Production,[]
436,ARTSVIS328,Animated Film: A History and Aesthetic,[]
437,ARTSVIS352S,Documentary Publishing from Gutenberg to the Web: History and Practice,[]
438,VMS362S,16mm Film Production,[]
439,VMS360S,"A First Look at the History, Theory and Practice of Storytelling Using Steroscopic Motion Pictures",[]
440,ARTSVIS360A,Duke-Administered Study Abroad: Advanced Special Projects in Visual Arts,[]
441,ARTSVIS390S,Special Topics in Visual Arts,[]
442,ARTSVIS391,Independent Project in the Visual Arts,[]
443,ISS 315,Historical Geographic Information Systems,[]
