,number,name
421,CELLBIO493, Research Independent Study
422,CELLBIO658, Structural Biochemistry I
423,CELLBIO659, Structural Biochemistry Ii
424,CELLBIO701, Human Structure & Function
425,CELLBIO710, Scientific Writing
426,CHEM89,Year Seminar (Top)
427,CHEM91, Chem/Technol/Society
428,CHEM99, Introduction To Chemistry
429,CHEM101, Core Concepts In Chemistry
430,CHEM110, Honors Chemistry
431,CHEM201, Organic Chemistry I
432,CHEM202, Organic Chemistry Ii
433,CHEM210, Mod Apps Chem Principles
434,CHEM295, Intro To Research Ind. Study
435,CHEM301, Elements Physical Chem
436,CHEM310, Physical Chemistry I
437,CHEM393, Research Independent Study
438,CHEM394, Research Independent Study
439,CHEM401, Analytical Chemistry
440,CHEM493, Research Independent Study
441,CHEM494, Research Independent Study
442,CHEM511, Biomolecular Interactions
443,CHEM517, Molecules In Life And Disease
444,CHEM521, Inorganic Chemistry
445,CHEM531, Organic Chemistry
446,CHEM532, Organic Reactions
447,CHEM542, Quantum Mechanics
448,CHEM548, Sol State/Materials Chem
449,CHEM590, Special Topics In Chemistry
450,CHEM601, Biosensors
451,CHEM701, Research Orientation Sem
452,CHEM801, Research
453,CHEM990, Special Topics In Prof Develop
454,CHILDPOL250, Child Policy Research
455,CHILDPOL290, Sp Top: Child Policy Research
456,CHILDPOL393, Research Independent Study
457,CHINESE101,Year Chinese I
458,CHINESE105, First Year Chinese In Review I
459,CHINESE131, Literacy In Chinese I
460,CHINESE203, Intermediate Chinese
461,CHINESE204, Intermediate Chinese
462,CHINESE205,Mid Chinese
463,CHINESE305, Advanced Chinese
464,CHINESE332, Chinese Translation
465,CHINESE333, Advanced Literacy In Chinese
466,CHINESE391, Independent Study
467,CHINESE407, Issues In Chinese Lang/Soc I
468,CHINESE435, Readings Contemp Chinese Lit I
469,CHINESE455, Modern Chinese Culture
470,CHURHST750, Early/Med Christianity
471,CHURHST803, History Of Bibl Interpretation
472,CHURHST999, Directed Study
473,CHURMIN700, Spiritual Formatn Groups
474,CHURMIN704, Anglican Spiritual Formation
475,CHURMIN705, Advanced Spiritual Formation
476,CHURMIN760, Intro To Minstry Of Preachng
477,CHURMIN761, Intro/Cm:Ordained Ldrshp
478,CHURMIN763, The Holy Spirit And Ministry
479,CHURMIN999, Directed Study
480,CLP205, Clinical Leadership Project
481,CLST89,Year Seminar (Top)
482,CLST144, Principles Archaeology
483,CLST170, Liberty And Equality
484,CLST240, Virtual Museums
485,CLST266, Sex And Gender In Antiquity
486,CLST283, Greek History
487,CLST341, Ancient City: Art/Arch
488,CLST352, The Aegean Bronze Age
489,CLST366, Inventing Sickness
490,CLST491, Independent Study
491,CLST542,Roman
492,CLST544, Digital Archaeology
493,CLST573, Aristotle
494,CMB551, Cell And Molecular Biology
495,CMB658, Structural Biochemistry I
496,CMB733, Experiment Design & Statistics
497,CMB764, Cell/Molecular Bio Colloquium
498,CMB778, Genetic Solutns Biol Problems
499,CMB797, Mod Tech Molecular Bio
500,COMMFAM205, Family Medicine
501,COMMFAM225, Travel Med At Duke Stdnt Hlth
502,COMMFAM401, Subinternship In Fam Med
503,COMMFAM410, Travel Med At Duke Stdnt Hlth
504,COMMFAM423, Occup & Environ Med
505,COMMFAM433, Community Health
506,COMMFAM435, Hlth Prom & Disease Prev
507,COMMFAM441, Fam Med Continuity Exp
508,COMMFAM449, Adv Precp In Comm & Fam Med
509,COMPSCI89,Year Seminar (Top)
510,COMPSCI101, Intro To Computer Science
511,COMPSCI110," Information, Society & Culture"
512,COMPSCI201, Data Structures And Algorithms
513,COMPSCI230, Discrete Math For Compsci
514,COMPSCI250, Computer Architecture
515,COMPSCI260, Intro Computational Genomics
516,COMPSCI290, Topics In Computer Science
517,COMPSCI308, Software Design/Implemen
518,COMPSCI310, Intro To Operating Systm
519,COMPSCI316, Intro To Database Systems
520,COMPSCI330, Design/Analy Algorithms
521,COMPSCI350, Digital Systems
522,COMPSCI356, Comp Network Architec
523,COMPSCI391, Independent Study
524,COMPSCI393, Research Independent Study
525,COMPSCI408, Delivering Software
526,COMPSCI445, Intro High Dim Data Analysis
527,COMPSCI512, Distributed Information Sys
528,COMPSCI516, Data Intensive Comp Systems
529,COMPSCI527, Computer Vision
530,COMPSCI531, Introduction To Algorithms
531,COMPSCI532, Design/Analy Algorithms
532,COMPSCI550, Adv Computer Architec I
533,COMPSCI554,Tolerant/Comp Sys
534,COMPSCI555, Probability Elec And Comp Egrs
535,COMPSCI570, Artificial Intelligence
536,COMPSCI571, Machine Learning
537,COMPSCI590, Advanced Topics In Cps
538,COMPSCI701, Intro Grad Students Compsci
539,COMPSCI791, Internship
540,COMPSCI805, Topics In Numerical Math
541,CONTDIV1, Continuation
542,CONTDIV2, Study Away
543,CONTENV1, Course Continuation
544,CONTNUR111, Course Continuation Fee
545,CONTPPS1, Course Continuation
546,CPE75,Duke Hospital
547,CPE100, Level One Cpe Alamance Regionl
548,CPE150, Level One Cpe Transferred
549,CPE200, Level Two Cpe
550,CPE250, Level Two Cpe Transferred
551,CREOLE101, Elementary Creole I
552,CREOLE203, Intermediate Creole I
553,CREOLE701, Elementary Creole I
554,CREOLE703, Intermediate Creole I
555,CRP241, Intro Statistical Methods
556,CRP242, Prin Of Clinical Research
557,CRP248, Clinical Trials
558,CRP257, Proteomics/Protein Bio In Med
559,CRP259, Decision Sciences In Clin Res
560,CRP263, Longitudinal Data Analysis
561,CRP264, Intro To Immunology In Clinres
562,CRP270, Research
563,CRP273, Impl/Diss Of Hlthcare Research
564,CRP280, Unc
565,CRP281, Unc
566,CRP282, Unc
567,CRP299, Continuation Of Research
568,CRS301, Continuation Of Research Study
569,CRSP301, Research In Crsp
570,CTN1, Continuation
571,CULANTH80,Special Topics
572,CULANTH89,Year Seminar (Top)
573,CULANTH101, Intro To Cultural Anthro
574,CULANTH105, Intro To African Studies
575,CULANTH106, Doc Exper: A Video Appr
576,CULANTH113, Enterprising Civic Engagement
577,CULANTH131, World Music
578,CULANTH170, Advertising/Society: Global
579,CULANTH190, Special Topics In Focus
580,CULANTH195, Comp Appr Global Issues
581,CULANTH201, Intro To Linguistics
582,CULANTH210, Global Culture
583,CULANTH211, Geopolitics And Culture
584,CULANTH212, Language And Society
585,CULANTH215, Indian Civilization
586,CULANTH219, Intro To Performance Studies
587,CULANTH238, Politics Of Food
588,CULANTH241, Migrant China
589,CULANTH255, World Of Korean Cinema
590,CULANTH258, Our Culinary Cultures
591,CULANTH261," Race, Genomics, And Society"
592,CULANTH262, Documenting Black Experiences
593,CULANTH269, Black Gods And Kings
594,CULANTH278, Nature/Nurture
595,CULANTH290, Current Issues (Topics)
596,CULANTH291, Independent Study
597,CULANTH293, Research Independent Study
598,CULANTH295, Anthropology Of Childhood
599,CULANTH301, Theoretical Foundations
600,CULANTH302, Fieldwork Methods
601,CULANTH305, White Supremacy
